id;A;B;C;D;E;F;G;H;I;J;K;L;clade_A;clade_B;clade_D
D1.1-1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
D1.1-2;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
D1.1-3;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
D1.2-1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
D1.2-2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
D1.2-3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
D1.3-1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
D1.3-2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
D1.3-3;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
D1.4-1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
D1.4-2;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
D1.4-3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
D1.5-1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
D1.5-2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
D1.5-3;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
D1.6-1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
D1.6-2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
D1.6-3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0
D1.7-1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
D1.7-2;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
D1.7-3;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
D1.8-1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
D1.8-2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
D1.8-3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
D1.9-1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
D1.9-2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
D1.9-3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
D1.10-1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
D1.10-2;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
D1.10-3;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
D1.11-1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
D1.11-2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
D1.11-3;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
